y,x2,x3,e,u
9.7178478,.23587868,6.3726921,9.6782742,2.1092768
-6.6423068,.19909663,-7.1525712,-3.4519575,-.68883228
-.81421268,.03958451,-1.6520951,-1.683766,-.20170213
3.9453251,.4870162,.71020395,5.0889778,1.748105
8.2880716,.006421105,7.3207488,-.37882334,-.039098565
-1.4587455,1.3482281,.17339006,-5.1418309,-3.9803636
15.099124,2.0413663,6.1902146,5.2356844,5.8675432
5.6342173,.6447829,5.5344257,-3.6577237,-1.5449913
7.7559695,.54464436,7.0425901,-2.23265,-.83126515
15.5157,.00057335937,14.809625,-2.936559,-.29449776
-.95189673,.0062628961,-1.7367193,-2.1471665,-.22144039
-4.2920065,.61041754,-6.8889999,2.4347348,.9865759
1.2209041,.017764552,.9229095,-6.6105337,-.71976995
2.3325088,2.0830481,-3.6035812,2.4993269,2.8530419
2.5386462,.20505176,1.8667921,-2.6327376,-.53319752
2.676259,.56685001,2.1595523,-2.7388494,-1.0501434
.78838664,.023894904,.12451091,-3.2159657,-.36001918
-9.1720657,.033174913,-9.960721,-2.0973082,-.24451983
-2.7363636,.0032498781,-3.3979719,-3.3617895,-.34164163
10.309573,4.2687955,-1.0296832,2.7168219,6.0704608
-2.2311544,1.2695946,-6.3141227,2.4678559,1.8133738
-2.6137145,2.4109726,-9.0007629,2.2796683,2.9760759
-12.046373,1.615375,-11.009972,-4.0231647,-3.6517766
4.2584176,.86262858,.41844013,3.7216184,1.977349
5.2209992,.25156894,5.0125365,-4.6199207,-1.0431063
-3.5608284,2.67259,1.1401062,-5.8299475,-8.3735247
.54296595,.10805088,-1.3125618,4.8529439,.74747682
-2.5470393,.91290486,-3.0736766,-2.4912598,-1.3862675
9.4011745,.093172505,9.4582682,-7.8470254,-1.1502661
-.90353197,.94654089,-4.2906957,2.5129898,1.4406228
2.491303,.0046837484,1.1989249,2.8111117,.28769442
13.557519,.42750627,8.7779427,10.683781,3.3520696
.26012588,.22071405,-.66138119,-1.4223769,-.29920697
7.6332254,.49800423,2.7353671,9.741643,3.3998539
-7.6246161,1.6723565,-2.0453467,-8.8141613,-8.251626
1.6664922,.71212733,-2.0094538,4.3060188,1.9638187
1.1659564,.44379133,-.62652612,1.0832429,.3486912
